date,open,high,low,close
2017-07-17 08-AM,2055.87,2090.16,2046.55,2068.01
2017-07-17 09-AM,2068.01,2086.95,2039.95,2071.62
2017-07-17 10-AM,2071.62,2073.33,2025.47,2028.44
2017-07-17 11-AM,2028.44,2050.69,1998.98,2006.71
2017-07-17 12-PM,2006.71,2017.97,1976,2000
2017-07-17 01-PM,2000,2021,1995.12,2007.98
2017-07-17 02-PM,2007.98,2063,2007.98,2063
2017-07-17 03-PM,2063,2079,2045.01,2045.09
2017-07-17 04-PM,2045.09,2067,2043.31,2057.99
2017-07-17 05-PM,2057.99,2145.2,2057.45,2133.21
2017-07-17 06-PM,2133.21,2149.9,2116.94,2139.17
2017-07-17 07-PM,2139.17,2146,2111.21,2124
2017-07-17 08-PM,2124,2186.75,2123.99,2174.6
2017-07-17 09-PM,2174.6,2189.8,2149.99,2156.51
2017-07-17 10-PM,2156.51,2200,2156.51,2200
2017-07-17 11-PM,2200,2238.07,2198,2235.19
2017-07-18 12-AM,2235.19,2236.65,2186.65,2193.91
2017-07-18 01-AM,2193.91,2199.99,2146.79,2198.8
2017-07-18 02-AM,2198.8,2199.95,2170.3,2194.99
2017-07-18 03-AM,2194.99,2198,2156.08,2164.49
2017-07-18 04-AM,2164.49,2193.97,2134.37,2182.93
2017-07-18 05-AM,2182.93,2228,2169.58,2223.27
2017-07-18 06-AM,2223.27,2249.68,2219.9,2245.99
2017-07-18 07-AM,2245.99,2276.76,2245.99,2253.1
2017-07-18 08-AM,2253.1,2272.47,2245,2245
2017-07-18 09-AM,2245,2254.37,2216.02,2253.05
2017-07-18 10-AM,2253.05,2253.05,2215.76,2241.46
2017-07-18 11-AM,2241.46,2305.65,2237.86,2285.94
2017-07-18 12-PM,2285.94,2305,2276.32,2300
2017-07-18 01-PM,2300,2322.78,2295.1,2319.9
2017-07-18 02-PM,2319.9,2363.15,2315.72,2360.41
2017-07-18 03-PM,2360.41,2365.84,2336,2354.19
2017-07-18 04-PM,2354.19,2354.19,2278,2302.01
2017-07-18 05-PM,2302.01,2335.72,2285.81,2326.69
2017-07-18 06-PM,2326.69,2354.32,2326.46,2341.96
2017-07-18 07-PM,2341.96,2374,2338.9,2352.65
2017-07-18 08-PM,2352.65,2393.43,2347.05,2366.69
2017-07-18 09-PM,2366.69,2366.69,2329.16,2349.96
2017-07-18 10-PM,2349.96,2349.96,2256.23,2281.22
2017-07-18 11-PM,2281.22,2317,2278.43,2308.15
2017-07-19 12-AM,2308.15,2308.22,2244.69,2263.27
2017-07-19 01-AM,2263.27,2298,2246.21,2281.12
2017-07-19 02-AM,2281.12,2287.51,2255.08,2279.99
2017-07-19 03-AM,2279.99,2349.1,2279.99,2341.97
2017-07-19 04-AM,2341.97,2346.87,2297.06,2324.69
2017-07-19 05-AM,2324.69,2350.84,2316.97,2349.39
2017-07-19 06-AM,2349.39,2370.06,2337,2348.33
